ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) MTN,Treasury,Fixed Income,0.13,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #335,Treasury,Fixed Income,0.13,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,AGRICULTURAL DEVELOPMENT BANK OF C,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.13,France,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.13,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA DEVELOPMENT BANK,Government Related,Fixed Income,0.13,China,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.12,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #146,Treasury,Fixed Income,0.12,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.12,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.12,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.12,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 5YR #133,Treasury,Fixed Income,0.12,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.12,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.12,China,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.12,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF),Treasury,Fixed Income,0.12,France,,,,,,,,,,,,,,,,,,,,
