,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
50000,49986.4,50367.45,49821.3,51464.85,50483.75,51540.45,50780.8
50000,49970.3,50321.15,49911.45,51547.05,50654.5,51628.8,50989.25
50000,49984.5,50330.25,49926.2,51547.55,50661.7,51538.05,50904.75
50000,49982.6,50327.95,49960.35,51610.1,50674.55,51347.8,50999.7
50000,49989.15,50286.85,49871.5,51619.1,50755.95,51279,51074.65
50000,49960.05,50261.15,49968.7,51681.7,50801.8,51239.9,51130.8
50000,50002.55,50351.9,50026.7,51661.95,50824.45,51311.9,51235.7
50000,49991.65,50320.65,50044.7,51673.4,50882.65,51246.9,51334.3
50000,50022.6,50358.25,50111.8,51614.45,50886.6,51119.3,51209.45
50000,50031.95,50343.75,50132.8,51638.25,50938,51181.5,51175.8
50000,50044.35,50354.3,50147.05,51701.65,50847.5,51226,51330.05
50000,50100.45,50277.2,50130.45,51608.05,50756,51091.45,51389.15
50000,50127.85,50305.3,50199.65,51576.75,50777.9,51066.65,51367.45
50000,50131.05,50304.35,50193.1,51690.65,50840.7,51200.9,51333
50000,50126.55,50326.25,50121.15,51610.9,50861.85,51461.45,51459
50000,50103.35,50320.3,50226.45,51726.35,50859.1,51520.95,51593.35
50000,50108.3,50301.45,50263.3,51694.35,50881.3,51514.75,51383.85
50000,50117.25,50288.95,50251.95,51752.4,50909.2,51402.15,51480.95
50000,50107.9,50285.35,50218.45,51781,50936.7,51273.8,51489.55
50000,50068.6,50328.5,50305.2,51753.95,50915.1,51254.15,51687.5
50000,50102.55,50278.8,50306.4,51822.2,51024,51194.4,51796.05
50000,50112.65,50295.9,50250.1,51834.15,51113.55,51416.95,51818.7
50000,50111.8,50296.45,50154.05,51828.2,51183.55,51455.3,51948.55
50000,50143.9,50273.5,50270.85,51773.25,51199.65,51453.1,51893.2
50000,50133.45,50269.25,50384.2,51888.25,51036.25,51514.9,51675.4
50000,50202.1,50293,50447.95,52018.7,51168.8,51386.05,51761.3
50000,50232.4,50307.4,50500.8,52001.1,51213.5,51404.7,51615.45
50000,50240.1,50304.05,50593.75,52228.7,51310.55,51279.5,51710.95
50000,50239.05,50361.85,50604.75,52377.6,51275.6,51420.4,51718.9
50000,50274.55,50386.05,50504.05,52480.35,51160.2,51498.8,51736.1
50000,50248.55,50346.8,50476.7,52429.6,51265.9,51398.15,51788
50000,50232.5,50347.7,50515.75,52515.2,51066.85,51542.75,51794.55
50000,50258.8,50330.95,50543.15,52505.3,51068.95,51586.75,51862.15
50000,50311.15,50289.3,50521.1,52450.85,51107.05,51514.5,51996.6
50000,50308.9,50260.75,50497.5,52398.75,51159.45,51362.35,52003
50000,50300.35,50242.15,50477.65,52272.65,51118.05,51384.25,51861.6
50000,50318.15,50271.2,50493.05,52304.25,51042.9,51272.15,51917.4
50000,50332,50290.9,50494.95,52351.1,51162.35,51348,51867.1
50000,50278.05,50285.25,50505.9,52298.25,51258.25,51331.7,51924.45
50000,50237.6,50269.85,50643.5,52229.25,51432.15,51459.5,52023.7
50000,50244.15,50249.35,50590.6,52276,51476.05,51570.55,52253.9
50000,50219.2,50285.3,50583.45,52369.15,51584.3,51574.65,52447.45
50000,50227.3,50290.35,50564.9,52322.25,51557.75,51736.4,52627.2
50000,50231.8,50386.55,50602.4,52384.1,51660.9,51656.9,52542.3
50000,50178.2,50405.7,50610.85,52375.1,51628.9,51728.4,52457.9
50000,50159.15,50365.05,50659.5,52389.5,51646.1,51933,52400.2
50000,50158.75,50330.5,50629.1,52512,51574.95,51990.2,52504.95
50000,50142.4,50334.05,50654.15,52468.35,51538.1,52005.25,52388.55
50000,50155.85,50369.1,50666.55,52471.6,51451.9,52001.05,52456.65
50000,50166.1,50363.8,50740.35,52465.65,51479.65,51913,52463.7
50000,50163.85,50341.2,50716.8,52485.2,51577.45,51916.35,52598.3
50000,50170.8,50288.75,50731.8,52451.3,51543.9,51729.3,52677.7
50000,50186.55,50345.7,50760.6,52475.5,51665.2,51638,52621.1
50000,50216.55,50393.1,50686.95,52533.1,51586.65,51587.1,52871.1
50000,50187.45,50423.15,50691.5,52578.55,51691.35,51655.35,52899.3
50000,50198.55,50469.45,50737.15,52375.15,51603.05,51807.05,53045.25
50000,50186.9,50492.05,50751.35,52412.4,51623.4,51782.95,52887.2
50000,50192.65,50472.9,50864.95,52468.15,51592.6,51717.75,52846.25
50000,50212,50524.8,50883.8,52500.95,51506.35,51816.55,52905.55
50000,50227.75,50504.55,50931.05,52621.2,51557.05,51857.55,52729.55
